시도,군구,관광지,무료/유료,세부구분,내/외국인,총계,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
대구광역시,달서구,두류공원,무료,추정,합계,133245696,19454625,33889967,33411032,6484837,4670905,4351608,8105877,11260607,11616238,,,,,,,
경상북도,경주시,보문관광단지,무료,추정,합계,60215672,2511751,6960051,7338855,8334250,7537866,6614624,7005752,5992594,7919929,,,,,,,
대구광역시,동구,동화사,유료,측정,합계,56663992,3974956,6922525,6700402,6434540,6591856,6028694,6560277,6609142,6841600,,,,,,,
대구광역시,동구,갓바위집단시설지,무료,추정,합계,51517471,3181343,5553981,4736573,5700816,5707954,9512731,5839032,5702255,5582786,,,,,,,
경상북도,경산시,갓바위,무료,측정,합계,51246042,1045852,2525364,4346115,5009018,5081993,4692238,5329350,6128300,7071205,,1770195,1887769,1875976,1800496,1872398,809773
대구광역시,남구,앞산공원,무료,추정,합계,45947380,8253667,17290359,16784852,3172649,122684,109561,113725,49666,50217,,,,,,,
대구광역시,동구,파계사,유료,측정,합계,28259191,1433287,2802851,2781864,3595126,3600082,3609800,3497966,3520121,3418094,,,,,,,
경상북도,경주시,불국사,유료,측정,합계,27711905,886900,1591749,1820330,1994350,1723566,2950204,3627605,1820635,1736496,1659048,1667498,1503904,1272307,1405009,1311957,740347
대구광역시,중구,달성공원,무료,추정,합계,22531492,1200480,2870548,2950847,2819116,2742063,2827641,2586564,2196758,2337475,,,,,,,
경상북도,영덕군,강구항,무료,측정,합계,21859039,,,,,,,,1645217,2551220,2748338,2840070,2482020,2989554,3627934,2974686,
경상북도,영주시,풍기인삼시장,무료,추정,합계,21556407,,2268576,1797361,2262442,2530278,3260408,2938716,2925186,3573440,,,,,,,
경상북도,문경시,문경새재도립공원,유료,측정,합계,17898067,419173,1076614,1008517,994140,1556326,2805773,3630183,4339897,2067444,,,,,,,
경상북도,포항시,해맞이광장,무료,추정,합계,17189224,1085734,2661010,3470509,2332950,1582482,1786855,1641852,1451062,1176770,,,,,,,
경상북도,안동시,하회마을,유료,측정,합계,17150877,389545,830993,761411,796203,862624,829496,1396743,1315362,1256779,1473157,1055153,1018752,1314088,1336712,1914155,599704
경상북도,경주시,석굴암,유료,측정,합계,16018751,592000,1085654,1317053,1414448,1201143,1694852,1569295,985960,1103347,1051343,899892,833428,666283,655279,612250,336524
경상북도,경주시,경주 동궁과 월지,유료,측정,합계,14789511,170143,382699,692531,594871,879981,920837,665481,463562,598052,1540703,1556641,1518837,1224515,1350156,1415595,814907
경상북도,포항시,죽도시장,무료,추정,합계,14103199,,,,1374792,1871658,2354750,3180045,2863135,2458819,,,,,,,
대구광역시,달서구,우방타워랜드,유료,측정,합계,13936792,751427,1911194,1857465,1710298,1802421,1506219,1534522,1469832,1393414,,,,,,,
경상북도,김천시,직지문화공원,무료,추정,합계,13581067,,,,1237988,2225299,2103835,2617404,2558366,2838175,,,,,,,
대구광역시,중구,국채보상기념공원,무료,추정,합계,13328271,953671,1423555,1985541,1651676,1246935,1518707,1713144,1554283,1280759,,,,,,,
경상북도,안동시,안동국제탈춤페스티벌,유료,측정,합계,12975672,697902,774029,927512,895000,1050000,,958993,1078359,1169870,984820,43804,1034221,1097479,1231635,1032048,0
경상북도,포항시,월포해수욕장,무료,추정,합계,11371379,640186,930122,954834,1437184,1657880,1288400,1976115,1431758,1054900,,,,,,,
경상북도,경주시,경주월드,유료,측정,합계,10978093,,,,,,302634,1169690,903753,1130443,1147864,1048759,1089496,954604,1266637,1216101,748112
경상북도,영주시,부석사,유료,측정,합계,9752197,274514,750377,412732,348784,561195,494720,798166,754397,604431,923426,755907,769584,694591,671547,684642,253184
대구광역시,달서구,이월드,유료,측정,합계,9746318,,,,,,,,,,,1485255,1466596,1809974,1924722,1961099,1098672
경상북도,구미시,금오산(탐방로 입구),무료,추정,합계,9513917,,,,,2435250,1796290,1906650,1675203,1700524,,,,,,,
경상북도,고령군,고령지산동고분군,무료,추정,합계,9131295,510643,734157,744605,976519,1133578,1324257,971631,1393695,1342210,,,,,,,
경상북도,포항시,국립등대박물관,무료,측정,합계,8723429,,,,,,,786241,949392,1088435,1122237,998693,933615,954188,938259,952369,
경상북도,구미시,금오산(탐방로 입구),유료,측정,합계,8533340,1483216,2134915,2058087,2857122,,,,,,,,,,,,
경상북도,경주시,남산,무료,추정,합계,8363723,78966,176270,188050,1378450,1414291,869615,234837,1556718,2466526,,,,,,,
경상북도,봉화군,"관광축제(은어,송이)",무료,추정,합계,8272824,1454959,450077,602108,1329001,429287,812500,818281,1187466,1189145,,,,,,,
경상북도,경주시,대릉원,유료,측정,합계,7708627,352160,495686,884178,740093,777430,825965,657930,432983,616637,,,,,,1191608,733957
경상북도,영덕군,강구항,무료,추정,합계,7143588,193304,453680,464435,800940,1237240,1088494,1737234,1168261,,,,,,,,
